,score,replies,length,length_ratio,sureness
0,232,1,57,0.27,85.0
1,26,1,161,1.07,72.0
2,54,0,125,0.59,72.6
3,154,0,190,1.12,86.6
4,45,1,52,0.59,68.0
5,26,0,33,0.21,73.0
6,35,1,10,0.09,77.4
7,33,0,150,1.0,73.0
8,63,0,6,0.06,91.0
9,27,0,48,0.95,61.2
10,27,0,78,0.3,72.0
11,42,0,59,0.39,67.4
12,-4,0,744,1.17,76.8
13,72,37,85,0.8,60.0
14,87,0,5,0.1,90.4
15,54,1,12,0.05,81.0
16,3,7,188,0.76,58.2
17,31,1,93,0.87,66.4
18,89,0,100,0.44,83.0
19,793,3,33,0.24,85.4
20,93,1,178,1.05,63.0
21,28,0,72,0.64,74.2
22,31,0,7,0.08,81.2
23,41,2,136,0.85,66.2
24,45,0,40,0.13,76.087402
25,26,3,441,1.01,77.0
26,41,1,188,0.66,86.0
27,107,1,110,0.33,89.0
28,47,0,15,0.15,85.0
29,46,0,262,1.7,84.0
30,72,0,57,0.52,86.0
31,117,0,68,0.24,92.0
32,3,7,93,0.58,60.0
33,112,1,170,0.8,88.0
34,28,0,489,2.89,79.0
35,54,9,83,0.38,79.0
36,43,0,44,0.29,84.0
37,70,0,40,0.33,83.0
38,35,0,113,0.36,79.0
39,28,1,8,0.07,68.0
40,43,12,139,1.3,78.0
41,1437,0,48,0.23,82.0
42,30,0,177,1.46,82.0
43,7,8,161,1.26,78.0
44,26,2,75,0.35,76.0
45,47,0,21,0.41,73.0
46,22,8,42,0.39,66.0
47,83,2,130,0.94,85.0
48,6,6,249,1.74,71.0
49,30,1,52,0.2,69.0
